date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-12-20 00:00:00+00:00,153.94,154.7,151.84,154.51,15147982,146.9333272134,147.6587353508,144.9289099914,147.4773833165,15147982,0.0,1.0
2021-12-21 00:00:00+00:00,156.09,157.18,155.09,155.41,11291338,148.9854686549,150.0258566415,148.0309842635,148.3364192687,11291338,0.0,1.0
2021-12-22 00:00:00+00:00,156.7,157.055,155.24,155.75,7272989,149.5677041336,149.9065460926,148.1741569222,148.6609439618,7272989,0.0,1.0
2021-12-23 00:00:00+00:00,157.26,159.12,157.21,157.61,8055154,150.1022153928,151.8775563609,150.0544911733,150.4362849298,8055154,0.0,1.0
2021-12-27 00:00:00+00:00,158.16,158.2,156.34,157.6,6189234,150.9612513451,150.9994307208,149.2240897527,150.4267400859,6189234,0.0,1.0
2021-12-28 00:00:00+00:00,158.64,160.15,158.08,158.2,6342743,151.419403853,152.860675284,150.8848925938,150.9994307208,6342743,0.0,1.0
2021-12-29 00:00:00+00:00,158.56,159.63,158.15,158.85,6398927,151.3430451017,152.3643434005,150.9517065012,151.6198455752,6398927,0.0,1.0
2021-12-30 00:00:00+00:00,158.48,160.24,158.37,159.11,6948171,151.2666863504,152.9465788792,151.1616930673,151.8680115169,6948171,0.0,1.0
2021-12-31 00:00:00+00:00,158.35,159.29,157.96,158.45,5724199,151.1426033795,152.0398187074,150.7703544668,151.2380518186,5724199,0.0,1.0
2022-01-03 00:00:00+00:00,161.7,162.64,159.51,159.86,13128118,154.3401260907,155.2373414186,152.2498052735,152.5838748105,13128118,0.0,1.0
2022-01-04 00:00:00+00:00,167.83,168.58,164.23,164.31,20195802,160.19111541,160.9069787036,156.7549716009,156.8313303523,20195802,0.0,1.0
2022-01-05 00:00:00+00:00,163.78,168.3589,163.73,167.82,17539410,157.2799380162,161.6771117138,157.2319224044,161.1595994498,17539410,1.0,1.0
2022-01-06 00:00:00+00:00,165.52,167.37,163.87,166.91,14047498,158.9508813069,160.7274589436,157.3663661175,160.285715315,14047498,0.0,1.0
2022-01-07 00:00:00+00:00,167.16,167.53,165.06,165.665,13913345,160.525793374,160.8811089013,158.5091376783,159.0901265811,13913345,0.0,1.0
2022-01-10 00:00:00+00:00,167.32,169.31,165.53,169.07,12922455,160.6794433318,162.5904646814,158.9604844293,162.3599897448,12922455,0.0,1.0
2022-01-11 00:00:00+00:00,167.49,168.5246,166.31,168.26,11704529,160.8426964119,161.8362354513,159.7095279734,161.5821368336,11704529,0.0,1.0
2022-01-12 00:00:00+00:00,168.44,169.59,167.18,168.46,12568011,161.7549930361,162.8593521075,160.5449996187,161.7741992808,12568011,0.0,1.0
2022-01-13 00:00:00+00:00,168.23,169.81,167.89,168.34,13623418,161.5533274665,163.0706207995,161.2268213063,161.6589618125,13623418,0.0,1.0
2022-01-14 00:00:00+00:00,157.89,161.03,156.895,160.76,40158362,151.623698946,154.6390793672,150.6681882712,154.3797950634,40158362,0.0,1.0
2022-01-18 00:00:00+00:00,151.27,155.78,150.54,155.78,31450099,145.2664319435,149.597440128,144.5654040112,149.597440128,31450099,0.0,1.0
2022-01-19 00:00:00+00:00,148.93,152.23,148.55,151.57,22160010,143.0193013112,146.1883316901,142.6543826616,145.5545256144,22160010,0.0,1.0
2022-01-20 00:00:00+00:00,147.66,150.61,147.36,148.99,14860843,141.7997047715,144.6326258678,141.5116111007,143.0769200454,14860843,0.0,1.0
2022-01-21 00:00:00+00:00,145.08,147.51,144.27,147.5,20705401,139.3220992025,141.6556579361,138.5442462914,141.6460548137,20705401,0.0,1.0
2022-01-24 00:00:00+00:00,144.95,145.48,139.57,142.28,28503121,139.1972586119,139.706224097,134.030778782,136.6332249417,28503121,0.0,1.0
2022-01-25 00:00:00+00:00,146.53,146.85,140.79,143.65,18915869,140.7145519448,141.0218518603,135.20235971,137.948852705,18915869,0.0,1.0
2022-01-26 00:00:00+00:00,147.92,150.57,145.96,148.72,20709097,142.0493859529,144.5942133783,140.1671739703,142.8176357417,20709097,0.0,1.0
2022-01-27 00:00:00+00:00,145.31,150.38,144.13,149.42,17544523,139.5429710168,144.4117540535,138.4098025783,143.4898543069,17544523,0.0,1.0
2022-01-28 00:00:00+00:00,146.61,146.76,142.17,144.19,14116969,140.7913769237,140.9354237591,136.5275905957,138.4674213125,14116969,0.0,1.0
2022-01-31 00:00:00+00:00,148.6,148.79,144.67,145.64,13985745,142.7023982734,142.8848575982,138.9283711858,139.8598740547,13985745,0.0,1.0
2022-02-01 00:00:00+00:00,151.15,151.47,148.3,148.69,14584935,145.1511944752,145.4584943907,142.4143046026,142.7888263746,14584935,0.0,1.0
2022-02-02 00:00:00+00:00,149.94,150.94,148.07,150.5,12441136,143.9892166696,144.9495289057,142.1934327883,144.5269915218,12441136,0.0,1.0
2022-02-03 00:00:00+00:00,148.7,151.65,148.285,150.0,12474882,142.798429497,145.6313505932,142.399899919,144.0468354038,12474882,0.0,1.0
2022-02-04 00:00:00+00:00,152.56,153.5,148.7673,149.1,16654409,146.505234728,147.4079282299,142.8630585104,143.1825543914,16654409,0.0,1.0
2022-02-07 00:00:00+00:00,153.07,153.62,150.85,153.27,12572283,146.9949939684,147.5231656982,144.8631008044,147.1870564156,12572283,0.0,1.0
2022-02-08 00:00:00+00:00,155.95,158.48,154.8,155.0,20411387,149.7606932081,152.1902831653,148.6563341367,148.8483965839,20411387,0.0,1.0
2022-02-09 00:00:00+00:00,156.6,157.4305,155.82,156.59,9131135,150.3848961616,151.1824354736,149.6358526175,150.3752930392,9131135,0.0,1.0
2022-02-10 00:00:00+00:00,155.95,159.03,155.22,156.66,16455635,149.7606932081,152.7184548951,149.0596652758,150.4425148957,16455635,0.0,1.0
2022-02-11 00:00:00+00:00,153.92,158.19,152.97,155.61,16830005,147.811259369,151.9117926168,146.8989627448,149.4341870479,16830005,0.0,1.0
2022-02-14 00:00:00+00:00,152.49,153.68,150.3178,152.73,17026491,146.4380128715,147.5807844324,144.3520226324,146.6684878081,17026491,0.0,1.0
2022-02-15 00:00:00+00:00,154.72,155.94,153.85,154.51,9500867,148.5795091578,149.7510900858,147.7440375125,148.3778435883,9500867,0.0,1.0
2022-02-16 00:00:00+00:00,155.0,156.1,153.74,153.74,9076526,148.8483965839,149.9047400435,147.6384031665,147.6384031665,9076526,0.0,1.0
2022-02-17 00:00:00+00:00,151.43,153.73,150.665,153.0,11367457,145.4200819013,147.6288000442,144.6854430407,146.9277721119,11367457,0.0,1.0
2022-02-18 00:00:00+00:00,152.14,154.14,151.13,152.13,11733315,146.1019035889,148.0225280609,145.1319882305,146.0923004665,11733315,0.0,1.0
2022-02-22 00:00:00+00:00,151.87,153.24,150.41,150.6,11218553,145.8426192852,147.1582470485,144.4405634206,144.6230227454,11218553,0.0,1.0
2022-02-23 00:00:00+00:00,148.69,153.3,147.97,153.12,11799031,142.7888263746,147.2158657827,142.0974015647,147.0430095802,11799031,0.0,1.0
2022-02-24 00:00:00+00:00,144.55,144.99,139.78,142.94,25655100,138.8131337175,139.2356711013,134.2324443516,137.2670310175,25655100,0.0,1.0
2022-02-25 00:00:00+00:00,147.97,150.1269,144.91,145.25,18367679,142.0974015647,144.1686990265,139.1588461224,139.4853522827,18367679,0.0,1.0
2022-02-28 00:00:00+00:00,141.8,145.06,140.88,143.55,31315344,136.1722750684,139.3028929578,135.2887878112,137.8528214814,31315344,0.0,1.0
2022-03-01 00:00:00+00:00,136.45,140.48,133.58,140.04,36840448,131.0346046057,134.9046629168,128.2785084883,134.482125533,36840448,0.0,1.0
2022-03-02 00:00:00+00:00,139.28,140.04,136.6076,137.29,19405581,133.7522882336,134.482125533,131.185949814,131.8412668839,19405581,0.0,1.0
2022-03-03 00:00:00+00:00,138.29,140.98,137.06,139.84,16640804,132.8015791199,135.3848190348,131.6203950696,134.2900630858,16640804,0.0,1.0
2022-03-04 00:00:00+00:00,134.4,135.42,132.4,134.94,21020675,129.0659645218,130.0454830025,127.1453400497,129.5845331293,21020675,0.0,1.0
